Key,en,es,ar,fr
Verification code resend success,Verification code resend success,Código de verificación Resen el éxito,رمز التحقق من إعادة تقديم النجاح,Succès de renvoi du code de vérification
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.,Réinitialisation du mot de passe Succès. Veuillez vous connecter avec un nouveau mot de passe.
"User already  exists, please try with another email","User already  exists, please try with another email","El usuario ya existe, intente con otro correo electrónico",المستخدم موجود بالفعل ، يرجى المحاولة عبر بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez essayer avec un autre e-mail"
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق لا يتطابق,Le code de vérification ne correspond pas
Otp successfully verified,Otp successfully verified,OTP verificado con éxito,تم التحقق من OTP بنجاح,OTP a vérifié avec succès
User Registration KYC,User Registration KYC,Registro de usuarios KYC,تسجيل المستخدم KYC,Enregistrement des utilisateurs KYC
Phone number is already exists,Phone number is already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà
User Registration,User Registration,registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
Verify User,Verify User,Verificar el usuario,تحقق من المستخدم,Vérifier l'utilisateur
Reset Password Page,Reset Password Page,Restablecer la página de contraseña,إعادة تعيين صفحة كلمة المرور,Réinitialiser la page du mot de passe
User Login,User Login,Inicio de sesión de usuario,تسجيل الدخول المستخدم,Utilisateur en ligne
Please submit kyc information!,Please submit kyc information!,¡Envíe información de KYC!,يرجى تقديم معلومات KYC!,Veuillez soumettre des informations KYC!
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador aprobara su información de KYC,يرجى الانتظار قبل موافقة المسؤول على معلومات KYC الخاصة بك,Veuillez patienter avant que l'administrateur n'approbore vos informations KYC
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again","Admin rechazó su información de KYC, vuelva a suponer nuevamente",رفض المسؤول معلومات KYC الخاصة بك ، يرجى إعادة تقديم مرة أخرى,"L'administrateur a rejeté vos informations KYC, veuillez vous soumettre à nouveau"
Transaction failed. Record didn\'t saved properly. Please try again,Transaction failed. Record didn\'t saved properly. Please try again,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo,فشل الاجراء. سجل لم يتم حفظه بشكل صحيح. حاول مرة اخرى,La transaction a échoué. Enregistrement n'a pas été enregistré correctement. Veuillez réessayer
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada con éxito!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès!
Successfully Added Money,Successfully Added Money,Dinero agregado con éxito,أضافت الأموال بنجاح,Ajout de l'argent avec succès
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي,Paiement manuel
Add money cancelled,Add money cancelled,Agregar dinero cancelado,أضف المال الملغى,Ajouter de l'argent annulé
Added Money Failed,Added Money Failed,El dinero agregado falló,فشل الأموال المضافة,L'argent supplémentaire a échoué
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de transaction est requis pour vérifier
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡La transacción hash no es válida! Ingrese un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de transaction n'est pas valide! Veuillez saisir un hachage valide
Insufficient amount added. Please contact with system administrator,,#VALUE!,#VALUE!,#VALUE!
Your Wallet,Your Wallet,Tu billetera,محفظتك,Ton portefeuille
balance  has been added,balance  has been added,Se ha agregado el equilibrio,تمت إضافة التوازن,L'équilibre a été ajouté
By,By,Por,بواسطة,Par
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione alias de divisas de pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir un alias de monnaie de passerelle de paiement
Gateway not available,Gateway not available,Puerta de enlace no disponible,بوابة غير متوفرة,Passerelle non disponible
User wallet not found,User wallet not found!,¡Billetera de usuario no encontrada!,محفظة المستخدم لم يتم العثور عليها!,Portefeuille utilisateur introuvable!
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacción,يرجى اتباع حد المعاملة,Veuillez suivre la limite de transaction
Gateway currency not found,Gateway currency not found,Moneda de puerta de enlace no encontrada,لم يتم العثور على عملة البوابة,Devise de passerelle introuvable
Render Failed! Please call with valid gateway/credentials,Render Failed! Please call with valid gateway/credentials,Render falló! Llame con una puerta de enlace/credenciales válidas,قدم فشل! يرجى الاتصال مع بوابة/بيانات الاعتماد صالحة,Rendu a échoué! Veuillez appeler avec une passerelle / des informations d'identification valides
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,Solicitar el usuario no guarda correctamente. Inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. حاول مرة اخرى,Demandez à l'utilisateur ne sauve pas correctement. Veuillez réessayer
Transaction Failed. Gateway currency not available,Transaction Failed. Gateway currency not available,Transacción fallida. Moneda de puerta de enlace no disponible,فشل الاجراء. عملة البوابة غير متوفرة,La transaction a échoué. Gateway Currency non disponible
Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,¡Algo salió mal! Gateway Render falló. Llame al método Gateway () antes de llamar al método API (),هناك خطأ ما! فشل عرض البوابة. يرجى استدعاء طريقة Gateway () قبل استدعاء طريقة API (),Quelque chose s'est mal passé! Le rendu de passerelle a échoué. Veuillez appeler la méthode Gateway () avant d'appeler la méthode API ()
Something went wrong! Failed to make URL Params.,Something went wrong! Failed to make URL Params.,¡Algo salió mal! No se pudo hacer parámetros de URL.,هناك خطأ ما! فشل في جعل معاملات URL.,Quelque chose s'est mal passé! Impossible de faire des paramètres d'URL.
Gateway not found,Gateway not found,Puerta de entrada no encontrada,بوابة لم يتم العثور عليها,Passerelle introuvable
Failed to create developer API. Something went wrong!,Failed to create developer API. Something went wrong!,No se pudo crear API de desarrollador. ¡Algo salió mal!,فشل في إنشاء مطور API. هناك خطأ ما!,Échec de la création de l'API du développeur. Quelque chose s'est mal passé!
Failed to create Gateway Settings. Something went wrong!,Failed to create Gateway Settings. Something went wrong!,No se pudo crear la configuración de la puerta de enlace. ¡Algo salió mal!,فشل في إنشاء إعدادات بوابة. هناك خطأ ما!,Échec de la création de paramètres de passerelle. Quelque chose s'est mal passé!
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear billetera! Inténtalo de nuevo,فشل في إنشاء محفظة! حاول مرة اخرى,Échec de la création de portefeuille! Veuillez réessayer
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible
Oops! Request endpoint not registered!,Oops! Request endpoint not registered!,¡Ups! ¡Solicite punto final no registrado!,أُووبس! طلب نقطة النهاية غير مسجلة!,Oops! Demandez le point de terminaison non enregistré!
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero Enviar al administrador correctamente,أضف طلب المال إرسال إلى المسؤول بنجاح,Ajouter une demande d'argent envoyer à l'administrateur avec succès
Transaction failed. Payment captured failed.,Transaction failed. Payment captured failed.,Transacción fallida. El pago capturado falló.,فشل الاجراء. فشلت المدفوعات التي تم التقاطها.,La transaction a échoué. Le paiement capturé a échoué.
Payment From PayLink,Payment From PayLink,Pago de PayLink,الدفع من Paylink,Paiement de PayLink
Successful,Successful,Exitoso,ناجح,Réussi
Gateway is not available right now! Please contact with system administration,Gateway is not available right now! Please contact with system administration,¡Gateway no está disponible en este momento! Póngase en contacto con la administración del sistema,البوابة غير متوفرة الآن! يرجى الاتصال مع إدارة النظام,Gateway n'est pas disponible pour le moment! Veuillez contacter avec l'administration du système
No Action Executed!,No Action Executed!,¡No hay acción ejecutada!,لم ينفذ أي إجراء!,Aucune action exécutée!
Can't change anything for demo application,Can't change anything for demo application,No puedo cambiar nada para la aplicación de demostración,لا يمكن تغيير أي شيء للتطبيق التجريبي,Ne peut rien changer pour l'application de démonstration
Can't deletable system super admin,Can't deletable system super admin,No se puede eliminar el súper administrador del sistema,لا يمكن حذف نظام Super Admin,Impossible de supprimer le système Super Admin
Can't delete account by yourself.,Can't delete account by yourself.,No se puede eliminar la cuenta usted mismo.,لا يمكنك حذف الحساب بنفسك.,Je ne peux pas supprimer le compte par vous-même.
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre courrier système.
Target role not found!,Target role not found!,¡Rol de objetivo no encontrado!,الدور المستهدف لم يتم العثور عليه!,Rôle cible introuvable!
Super admin role can't deletable.,Super admin role can't deletable.,El rol super administrador no puede deletable.,دور المشرف السوبر لا يمكن حذفه.,Le rôle de super administrateur ne peut pas supprimer.
Sorry! You don't have permission to access admin dashboard.,Sorry! You don't have permission to access admin dashboard.,¡Lo siento! No tiene permiso para acceder al tablero de administración.,آسف! ليس لديك إذن للوصول إلى لوحة معلومات المشرف.,Désolé! Vous n'avez pas la permission d'accéder au tableau de bord d'administration.
"Sorry, You are unauthorized merchant user","Sorry, You are unauthorized merchant user","Lo siento, eres usuario comercial no autorizado",آسف ، أنت مستخدم تجاري غير مصرح به,"Désolé, vous êtes un utilisateur marchand non autorisé"
Account Is Deactivated,Account Is Deactivated,La cuenta está desactivada,يتم إلغاء تنشيط الحساب,Le compte est désactivé
